Type;Type.MemberType;Type.Namespace;Type.AssemblyQualifiedName;Type.FullName;Type.Assembly;Type.Module;Type.IsInterface;Type.IsNested;Type.DeclaringType;Type.DeclaringMethod;Type.ReflectedType;Type.UnderlyingSystemType;Type.IsTypeDefinition;Type.IsArray;Type.IsByRef;Type.IsPointer;Type.IsConstructedGenericType;Type.IsGenericParameter;Type.IsGenericTypeParameter;Type.IsGenericMethodParameter;Type.IsGenericType;Type.IsGenericTypeDefinition;Type.IsSZArray;Type.IsVariableBoundArray;Type.IsByRefLike;Type.IsFunctionPointer;Type.IsUnmanagedFunctionPointer;Type.HasElementType;Type.GenericTypeArguments;Type.GenericParameterPosition;Type.GenericParameterAttributes;Type.Attributes;Type.IsAbstract;Type.IsImport;Type.IsSealed;Type.IsSpecialName;Type.IsClass;Type.IsNestedAssembly;Type.IsNestedFamANDAssem;Type.IsNestedFamily;Type.IsNestedFamORAssem;Type.IsNestedPrivate;Type.IsNestedPublic;Type.IsNotPublic;Type.IsPublic;Type.IsAutoLayout;Type.IsExplicitLayout;Type.IsLayoutSequential;Type.IsAnsiClass;Type.IsAutoClass;Type.IsUnicodeClass;Type.IsCOMObject;Type.IsContextful;Type.IsEnum;Type.IsMarshalByRef;Type.IsPrimitive;Type.IsValueType;Type.IsSignatureType;Type.IsSecurityCritical;Type.IsSecuritySafeCritical;Type.IsSecurityTransparent;Type.StructLayoutAttribute;Type.TypeInitializer;Type.TypeHandle;Type.GUID;Type.BaseType;Type.IsSerializable;Type.ContainsGenericParameters;Type.IsVisible;Type.Name;Type.CustomAttributes;Type.IsCollectible;Type.MetadataToken
Umbraco.Cms.Infrastructure.Persistence.Dtos.UserDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.UserDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.UserDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.UserDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Public, BeforeFieldInit";False;False;False;False;True;False;False;False;False;False;False;False;True;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;54582904-7df7-3c2b-bd41-8dd660eb1830;System.Object;False;False;True;UserDto;"[[System.Runtime.CompilerServices.NullableContextAttribute((Byte)2)], [System.Runtime.CompilerServices.NullableAttribute((Byte)0)]...]";False;33555076
Umbraco.Cms.Infrastructure.Persistence.Dtos.NodeDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.NodeDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.NodeDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.NodeDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Public, BeforeFieldInit";False;False;False;False;True;False;False;False;False;False;False;False;True;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;fa9a26fe-f00b-32d4-879a-a667463b4169;System.Object;False;False;True;NodeDto;"[[System.Runtime.CompilerServices.NullableContextAttribute((Byte)1)], [System.Runtime.CompilerServices.NullableAttribute((Byte)0)]...]";False;33555056
Umbraco.Cms.Infrastructure.Persistence.Dtos.ContentTypeDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.ContentTypeDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.ContentTypeDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.ContentTypeDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";BeforeFieldInit;False;False;False;False;True;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;6b561f38-0e4a-3e45-89f3-8af7188e53cd;System.Object;False;False;False;ContentTypeDto;"[[System.Runtime.CompilerServices.NullableContextAttribute((Byte)2)], [System.Runtime.CompilerServices.NullableAttribute((Byte)0)]...]";False;33555026
Umbraco.Cms.Infrastructure.Persistence.Dtos.TemplateDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.TemplateDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.TemplateDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.TemplateDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Sealed, BeforeFieldInit";False;False;True;False;True;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;a526104f-1604-367b-adf2-47d3eb62c0a7;System.Object;False;False;False;TemplateDto;"[[System.Runtime.CompilerServices.NullableContextAttribute((Byte)1)], [System.Runtime.CompilerServices.NullableAttribute((Byte)0)]...]";False;33555070
Umbraco.Cms.Infrastructure.Persistence.Dtos.ContentDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.ContentDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.ContentDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.ContentDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Public, BeforeFieldInit";False;False;False;False;True;False;False;False;False;False;False;False;True;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;dd98602e-cb84-3946-be83-f9755f1b4e82;System.Object;False;False;True;ContentDto;"[[System.Runtime.CompilerServices.NullableContextAttribute((Byte)1)], [System.Runtime.CompilerServices.NullableAttribute((Byte)0)]...]";False;33555021
Umbraco.Cms.Infrastructure.Persistence.Dtos.ContentVersionDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.ContentVersionDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.ContentVersionDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.ContentVersionDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Public, BeforeFieldInit";False;False;False;False;True;False;False;False;False;False;False;False;True;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;593493fb-a7bb-3929-8b87-66dc6e776703;System.Object;False;False;True;ContentVersionDto;"[[System.Runtime.CompilerServices.NullableContextAttribute((Byte)2)], [System.Runtime.CompilerServices.NullableAttribute((Byte)0)]...]";False;33555030
Umbraco.Cms.Infrastructure.Persistence.Dtos.MediaVersionDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.MediaVersionDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.MediaVersionDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.MediaVersionDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Sealed, BeforeFieldInit";False;False;True;False;True;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;6d660bd0-14c0-3836-ada0-b1b7aff272a3;System.Object;False;False;False;MediaVersionDto;"[[System.Runtime.CompilerServices.NullableContextAttribute((Byte)1)], [System.Runtime.CompilerServices.NullableAttribute((Byte)0)]...]";False;33555051
Umbraco.Cms.Infrastructure.Persistence.Dtos.DocumentDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.DocumentDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.DocumentDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.DocumentDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Public, BeforeFieldInit";False;False;False;False;True;False;False;False;False;False;False;False;True;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;1ffe8704-abf9-3249-aeca-8ab887b4809d;System.Object;False;False;True;DocumentDto;"[[System.Runtime.CompilerServices.NullableContextAttribute((Byte)1)], [System.Runtime.CompilerServices.NullableAttribute((Byte)0)]...]";False;33555036
Umbraco.Cms.Infrastructure.Persistence.Dtos.ContentTypeTemplateDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.ContentTypeTemplateDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.ContentTypeTemplateDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.ContentTypeTemplateDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Sealed, BeforeFieldInit";False;False;True;False;True;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;e7555172-0aad-3293-95d6-a12ffe99586e;System.Object;False;False;False;ContentTypeTemplateDto;"[[System.Runtime.CompilerServices.NullableContextAttribute((Byte)2)], [System.Runtime.CompilerServices.NullableAttribute((Byte)0)]...]";False;33555027
Umbraco.Cms.Infrastructure.Persistence.Dtos.DataTypeDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.DataTypeDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.DataTypeDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.DataTypeDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Public, BeforeFieldInit";False;False;False;False;True;False;False;False;False;False;False;False;True;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;8071562d-6d8d-3251-9759-be20f3c289d7;System.Object;False;False;True;DataTypeDto;"[[System.Runtime.CompilerServices.NullableContextAttribute((Byte)1)], [System.Runtime.CompilerServices.NullableAttribute((Byte)0)]...]";False;33555032
Umbraco.Cms.Infrastructure.Persistence.Dtos.DictionaryDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.DictionaryDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.DictionaryDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.DictionaryDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Public, BeforeFieldInit";False;False;False;False;True;False;False;False;False;False;False;False;True;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;feeeae47-2336-3c40-b349-bc2041700643;System.Object;False;False;True;DictionaryDto;"[[System.Runtime.CompilerServices.NullableContextAttribute((Byte)1)], [System.Runtime.CompilerServices.NullableAttribute((Byte)0)]...]";False;33555033
Umbraco.Cms.Infrastructure.Persistence.Dtos.LanguageDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.LanguageDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.LanguageDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.LanguageDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Sealed, BeforeFieldInit";False;False;True;False;True;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;bfb5a43d-46cc-3388-a501-59efbc9491ff;System.Object;False;False;False;LanguageDto;"[[System.Runtime.CompilerServices.NullableContextAttribute((Byte)2)], [System.Runtime.CompilerServices.NullableAttribute((Byte)0)]...]";False;33555043
Umbraco.Cms.Infrastructure.Persistence.Dtos.LanguageTextDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.LanguageTextDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.LanguageTextDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.LanguageTextDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Public, BeforeFieldInit";False;False;False;False;True;False;False;False;False;False;False;False;True;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;2ccfce78-aaf0-33d1-992f-e8a22c30a067;System.Object;False;False;True;LanguageTextDto;"[[System.Runtime.CompilerServices.NullableContextAttribute((Byte)1)], [System.Runtime.CompilerServices.NullableAttribute((Byte)0)]...]";False;33555044
Umbraco.Cms.Infrastructure.Persistence.Dtos.DomainDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.DomainDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.DomainDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.DomainDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Sealed, BeforeFieldInit";False;False;True;False;True;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;80f5850f-b172-318f-9a87-b3d261a9f13f;System.Object;False;False;False;DomainDto;"[[System.Runtime.CompilerServices.NullableContextAttribute((Byte)1)], [System.Runtime.CompilerServices.NullableAttribute((Byte)0)]...]";False;33555039
Umbraco.Cms.Infrastructure.Persistence.Dtos.LogDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.LogDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.LogDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.LogDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Sealed, BeforeFieldInit";False;False;True;False;True;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;71d6ea2d-f029-35a0-92eb-1de17c2114cd;System.Object;False;False;False;LogDto;"[[System.Runtime.CompilerServices.NullableContextAttribute((Byte)2)], [System.Runtime.CompilerServices.NullableAttribute((Byte)0)]...]";False;33555047
Umbraco.Cms.Infrastructure.Persistence.Dtos.MemberPropertyTypeDto;TypeInfo;Umbraco.Cms.Infrastructure.Persistence.Dtos;"Umbraco.Cms.Infrastructure.Persistence.Dtos.MemberPropertyTypeDto, Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Cms.Infrastructure.Persistence.Dtos.MemberPropertyTypeDto;"Umbraco.Infrastructure, Version=17.1.0.0, Culture=neutral, PublicKeyToken=null";Umbraco.Infrastructure.dll;False;False;"";"Exception has been thrown by the target of an invocation.";"";Umbraco.Cms.Infrastructure.Persistence.Dtos.MemberPropertyTypeDto;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;[];"Exception has been thrown by the target of an invocation.";"Exception has been thrown by the target of an invocation.";"Sealed, BeforeFieldInit";False;False;True;False;True;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;System.Runtime.InteropServices.StructLayoutAttribute;"";System.RuntimeTypeHandle;1a6ec38b-ba0d-335d-ab0f-bfbfb612b7cb;System.Object;False;False;False;MemberPropertyTypeDto;"[[NPoco.TableNameAttribute(""cmsMemberType"")], [NPoco.PrimaryKeyAttribute(""pk"")], [NPoco.ExplicitColumnsAttribute()]]";False;33555054
